year,org,ein,class,group_id_guess,name,new_group_id,remove,final_id
2011,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_18,GERALD LAMARSH,,,04-2121305_18
2019,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_19,WILLIAM H SOUTHWICK,,,04-2121305_19
2018,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_19,WILLIAM H SOUTHWICK,,,04-2121305_19
2017,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_19,WILLIAM H SOUTHWICK,,,04-2121305_19
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_19,WILLIAM H SOUTHWICK,,,04-2121305_19
2015,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_19,WILLIAM H SOUTHWICK,,,04-2121305_19
2014,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_19,WILLIAM H SOUTHWICK,,,04-2121305_19
2013,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_19,WILLIAM H SOUTHWICK,,,04-2121305_19
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_19,WILLIAM H SOUTHWICK,,,04-2121305_19
2011,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_19,WILLIAM H SOUTHWICK,,,04-2121305_19
2020,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_2,JEFFREY A TUCKER,,,04-2121305_2
2019,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_20,ROBERT J VODICKA,,,04-2121305_20
2018,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_20,ROBERT J VODICKA,,,04-2121305_20
2017,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_20,ROBERT J VODICKA,,,04-2121305_20
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_20,ROBERT J VODICKA,,,04-2121305_20
2019,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_21,JOHN R SKAR,,,04-2121305_21
2018,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_21,JOHN R SKAR,,,04-2121305_21
2017,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_21,JOHN R SKAR,,,04-2121305_21
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_21,JOHN SKAR,,,04-2121305_21
