ein1,ein2,weight
13-0431590,52-0991278,1
13-0431590,73-0529079,1
13-1084330,25-1704173,1
13-2912529,53-0218495,2
13-6006960,35-1320021,1
13-6006960,35-6056960,1
13-6006960,52-1455677,1
13-6006960,52-1928321,1
13-6006960,54-1934032,1
13-6217788,23-7002632,1
13-6217788,36-7244615,1
13-6217788,47-3862135,1
13-6217788,52-2166327,1
20-1658710,23-2732477,1
20-1658710,23-7432162,1
20-1982204,54-1429009,1
20-2110682,27-2244700,1
20-4707442,73-0667344,1
23-2732477,20-1658710,1
23-2732477,23-7432162,1
23-7002632,13-6217788,1
23-7002632,36-7244615,1
23-7002632,47-3862135,1
23-7002632,52-1844456,1
23-7002632,52-2166327,1
23-7042029,36-3235550,1
23-7042029,52-1226614,2
23-7042029,54-1672138,1
23-7135837,52-1400302,2
23-7432162,20-1658710,1
23-7432162,23-2732477,1
23-7432162,26-2731617,1
23-7432162,43-1244445,1
23-7432162,52-1527294,1
23-7432162,75-3148958,1
23-7432162,76-0149778,1
23-7432162,95-3298239,3
25-1704173,13-1084330,1
25-1704173,25-1704705,1
25-1704705,25-1704173,1
26-0750621,73-0296927,1
26-2588270,52-1071570,1
26-2731617,23-7432162,1
26-2731617,75-3148958,1
26-2731617,76-0149778,3
26-4396861,73-0667344,1
27-2244700,20-2110682,1
27-2244700,52-2166327,1
27-2244700,94-6080099,1
27-2277658,56-1656943,1
27-2277658,58-1691765,1
27-4967732,48-0918408,3
27-4967732,54-1436224,3
35-1320021,13-6006960,1
35-1320021,35-6056960,6
35-6056960,13-6006960,1
35-6056960,35-1320021,6
36-3235550,23-7042029,1
36-3309812,52-1455677,1
36-3756240,52-1403587,1
36-7244615,13-6217788,1
36-7244615,23-7002632,1
36-7244615,47-3862135,1
36-7244615,52-2166327,2
36-7244615,54-1934032,2
36-7244615,81-0393444,1
38-2926822,43-1244445,1
38-2926822,44-6015127,1
38-2926822,53-0218495,1
43-1244445,23-7432162,1
43-1244445,38-2926822,1
43-1244445,44-6015127,2
43-1244445,52-1527294,1
44-6015127,38-2926822,1
44-6015127,43-1244445,2
44-6015127,52-1527294,1
45-4678325,52-1455677,1
46-1233894,53-0218495,1
47-3862135,13-6217788,1
47-3862135,23-7002632,1
47-3862135,36-7244615,1
47-3862135,52-2166327,1
48-0918408,27-4967732,3
48-0918408,54-1436224,3
52-0991278,13-0431590,1
52-1009116,52-1122683,7
52-1071570,26-2588270,1
52-1122683,52-1009116,7
52-1226614,23-7042029,2
52-1349353,52-1526916,6
52-1351785,52-2166327,1
52-1351785,54-1934032,1
52-1351785,94-3170425,1
52-1351785,95-3298239,1
52-1400302,23-7135837,2
52-1400492,52-1403587,3
52-1403587,36-3756240,1
52-1403587,52-1400492,3
52-1455677,13-6006960,1
52-1455677,36-3309812,1
52-1455677,45-4678325,1
52-1455677,77-0099744,1
52-1526916,52-1349353,6
52-1527294,23-7432162,1
52-1527294,43-1244445,1
52-1527294,44-6015127,1
52-1527294,75-3148958,8
52-1527294,95-3298239,1
52-1844456,23-7002632,1
52-1916480,55-0307050,1
52-1928321,13-6006960,1
52-1928321,54-1436224,1
52-1928321,58-1691765,1
52-2166327,13-6217788,1
52-2166327,23-7002632,1
52-2166327,27-2244700,1
52-2166327,36-7244615,2
52-2166327,47-3862135,1
52-2166327,52-1351785,1
52-2166327,54-1934032,3
52-2166327,65-0415977,1
52-2166327,81-0393444,1
52-2166327,94-6080099,1
52-2166327,95-3298239,1
53-0218495,13-2912529,2
53-0218495,38-2926822,1
53-0218495,46-1233894,1
53-0218495,54-1934032,1
53-0218495,94-3264446,1
54-1429009,20-1982204,1
54-1436224,27-4967732,3
54-1436224,48-0918408,3
54-1436224,52-1928321,1
54-1670627,54-1672138,1
54-1672138,23-7042029,1
54-1672138,54-1670627,1
54-1934032,13-6006960,1
54-1934032,36-7244615,2
54-1934032,52-1351785,1
54-1934032,52-2166327,3
54-1934032,53-0218495,1
54-1934032,57-0952531,1
54-1934032,76-0149778,1
54-1934032,81-0393444,1
55-0307050,52-1916480,1
56-1656943,27-2277658,1
56-1656943,58-1691765,1
57-0952531,54-1934032,1
58-1247027,94-3170425,1
58-1691765,27-2277658,1
58-1691765,52-1928321,1
58-1691765,56-1656943,1
65-0415977,52-2166327,1
65-0415977,95-3298239,1
73-0296927,26-0750621,1
73-0296927,84-0700841,1
73-0529079,13-0431590,1
73-0667344,20-4707442,1
73-0667344,26-4396861,1
74-2543375,94-2763845,1
75-3148958,23-7432162,1
75-3148958,26-2731617,1
75-3148958,52-1527294,8
76-0149778,23-7432162,1
76-0149778,26-2731617,3
76-0149778,54-1934032,1
77-0099744,52-1455677,1
81-0393444,36-7244615,1
81-0393444,52-2166327,1
81-0393444,54-1934032,1
84-0700841,73-0296927,1
91-1521697,91-1752769,1
91-1752769,91-1521697,1
94-2763845,74-2543375,1
94-3170425,52-1351785,1
94-3170425,58-1247027,1
94-3264446,53-0218495,1
94-6080099,27-2244700,1
94-6080099,52-2166327,1
95-3298239,23-7432162,3
95-3298239,52-1351785,1
95-3298239,52-1527294,1
95-3298239,52-2166327,1
95-3298239,65-0415977,1
