ein1,ein2,weight
13-1945157,52-2166327,1
13-1945157,53-0045720,1
13-2912529,13-6217788,1
13-2912529,52-2166327,1
13-6006960,38-2926822,1
13-6006960,43-1244445,1
13-6006960,44-6015127,1
13-6217788,13-2912529,1
13-6217788,52-2166327,1
23-7432162,43-1244445,1
23-7432162,44-6015127,1
23-7432162,52-1527294,1
23-7432162,95-3298239,3
23-7433827,52-1289734,1
25-1113452,25-1704173,1
25-1113452,25-6012303,1
25-1704173,25-1113452,1
25-6012303,25-1113452,1
35-1320021,35-6056960,8
35-6056960,35-1320021,8
36-7244615,52-2166327,1
36-7244615,53-0218495,1
36-7244615,54-1934032,1
36-7244615,56-0611550,1
36-7244615,81-0393444,1
38-2926822,13-6006960,1
38-2926822,43-1244445,1
38-2926822,44-6015127,1
43-1244445,13-6006960,1
43-1244445,23-7432162,1
43-1244445,38-2926822,1
43-1244445,44-6015127,2
44-6015127,13-6006960,1
44-6015127,23-7432162,1
44-6015127,38-2926822,1
44-6015127,43-1244445,2
48-0918408,54-1436224,2
52-0140979,74-2622129,1
52-1009116,52-1122683,4
52-1009116,52-1527294,1
52-1071570,52-1289734,1
52-1122683,52-1009116,4
52-1289734,23-7433827,1
52-1289734,52-1071570,1
52-1349353,52-1526916,5
52-1351785,65-0415977,1
52-1351785,94-2763845,1
52-1363952,75-2542403,1
52-1526916,52-1349353,5
52-1526916,95-3298239,1
52-1527294,23-7432162,1
52-1527294,52-1009116,1
52-1527294,54-1670627,2
52-1527294,54-1770697,1
52-1527294,95-3298239,1
52-1799853,52-1916480,2
52-1844456,53-0218495,1
52-1916480,52-1799853,2
52-2166327,13-1945157,1
52-2166327,13-2912529,1
52-2166327,13-6217788,1
52-2166327,36-7244615,1
52-2166327,54-1934032,1
52-2166327,81-0393444,1
52-2166327,94-6080099,1
53-0045720,13-1945157,1
53-0218495,36-7244615,1
53-0218495,52-1844456,1
53-0218495,54-1934032,1
53-0218495,56-0611550,1
53-0218495,94-3264446,1
54-1436224,48-0918408,2
54-1670627,52-1527294,2
54-1770697,52-1527294,1
54-1770697,94-2763845,1
54-1934032,36-7244615,1
54-1934032,52-2166327,1
54-1934032,53-0218495,1
54-1934032,56-0611550,1
54-1934032,94-3008370,1
54-1934032,94-3170425,1
56-0611550,36-7244615,1
56-0611550,53-0218495,1
56-0611550,54-1934032,1
65-0415977,52-1351785,1
74-2622129,52-0140979,1
75-2542403,52-1363952,1
81-0393444,36-7244615,1
81-0393444,52-2166327,1
81-0393444,84-0990300,1
81-0393444,95-3298239,1
84-0990300,81-0393444,1
94-2763845,52-1351785,1
94-2763845,54-1770697,1
94-3008370,54-1934032,1
94-3170425,54-1934032,1
94-3264446,53-0218495,1
94-6080099,52-2166327,1
95-3298239,23-7432162,3
95-3298239,52-1526916,1
95-3298239,52-1527294,1
95-3298239,81-0393444,1
