ein1,ein2,weight
13-2912529,53-0218495,1
23-7042029,51-0280185,1
23-7042029,54-1672138,1
23-7135837,52-1400302,2
23-7432162,52-1527294,1
36-3309812,94-2528433,1
36-7244615,52-2166327,1
36-7244615,53-0218495,1
36-7244615,54-1670627,1
38-2701547,57-0952531,1
48-0918408,54-1436224,2
51-0280185,23-7042029,1
51-0280185,54-1672138,1
52-1071570,52-1289734,2
52-1289734,52-1071570,2
52-1363952,75-2542403,1
52-1400302,23-7135837,2
52-1527294,23-7432162,1
52-2166327,36-7244615,1
52-2166327,54-1670627,1
53-0218495,13-2912529,1
53-0218495,36-7244615,1
54-1436224,48-0918408,2
54-1670627,36-7244615,1
54-1670627,52-2166327,1
54-1670627,94-2528433,1
54-1672138,23-7042029,1
54-1672138,51-0280185,1
54-1770697,57-0952531,1
54-1770697,94-2763845,1
57-0952531,38-2701547,1
57-0952531,54-1770697,1
57-0952531,94-2763845,1
75-2542403,52-1363952,1
94-2528433,36-3309812,1
94-2528433,54-1670627,1
94-2763845,54-1770697,1
94-2763845,57-0952531,1
