ein1,ein2,weight
13-2912529,53-0218495,1
23-7042029,51-0280185,1
23-7042029,54-1672138,1
23-7135837,52-1400302,2
23-7432162,52-1527294,1
23-7432162,95-3298239,1
36-3309812,94-2528433,1
36-3611426,57-0952531,1
38-2701547,57-0952531,1
51-0280185,23-7042029,1
51-0280185,54-1672138,1
52-1071570,52-1289734,2
52-1289734,52-1071570,2
52-1351785,57-0952531,1
52-1351785,94-2763845,1
52-1400302,23-7135837,2
52-1527294,23-7432162,1
52-1527294,95-3298239,1
53-0218495,13-2912529,1
54-1670627,94-2528433,1
54-1672138,23-7042029,1
54-1672138,51-0280185,1
54-1770697,95-3298239,1
57-0952531,36-3611426,1
57-0952531,38-2701547,1
57-0952531,52-1351785,1
57-0952531,74-2524057,1
59-2811908,95-3298239,1
74-2524057,57-0952531,1
94-2528433,36-3309812,1
94-2528433,54-1670627,1
94-2763845,52-1351785,1
95-3298239,23-7432162,1
95-3298239,52-1527294,1
95-3298239,54-1770697,1
95-3298239,59-2811908,1
