ein1,ein2,weight
13-0659550,13-1084330,1
13-1084330,13-0659550,1
13-1084330,25-1704173,1
13-2911127,52-1351785,1
13-2912529,25-1113452,1
13-2912529,53-0218495,1
13-6006960,23-7432162,2
13-6006960,38-2926822,1
13-6006960,52-1351785,1
13-6006960,54-1934032,1
13-6006960,75-3148958,1
13-6006960,95-3298239,1
13-6217788,23-7002632,1
13-6217788,36-7244615,1
13-6217788,52-2166327,1
20-1658710,23-2732477,1
20-1658710,23-7432162,1
20-1982204,54-1429009,1
20-2110682,27-2244700,1
20-4707442,73-0667344,1
22-3235650,35-2185292,1
23-2732477,20-1658710,1
23-2732477,23-7432162,1
23-7002632,13-6217788,1
23-7002632,36-7244615,1
23-7002632,52-2166327,1
23-7042029,36-3235550,1
23-7042029,52-1226614,2
23-7042029,54-1672138,1
23-7135837,52-1400302,2
23-7432162,13-6006960,2
23-7432162,20-1658710,1
23-7432162,23-2732477,1
23-7432162,27-4967732,1
23-7432162,52-1351785,1
23-7432162,52-1527294,1
23-7432162,75-3148958,1
23-7432162,95-3298239,2
25-1113452,13-2912529,1
25-1113452,25-1704173,1
25-1113452,25-6012303,1
25-1113452,41-1275875,1
25-1113452,74-6047137,1
25-1704173,13-1084330,1
25-1704173,25-1113452,1
25-1704173,25-1704705,1
25-1704705,25-1704173,1
25-6012303,25-1113452,1
25-6012303,41-1275875,1
26-2417908,45-3503672,1
26-2588270,52-1071570,2
26-2588270,52-1289734,1
26-2731617,76-0149778,3
26-4396861,51-0280185,1
26-4396861,73-0667344,1
27-2244700,20-2110682,1
27-2244700,52-2166327,1
27-2244700,94-6080099,1
27-4967732,23-7432162,1
27-4967732,48-0918408,2
27-4967732,54-1436224,2
27-4967732,75-3148958,1
35-1320021,35-6056960,6
35-2185292,22-3235650,1
35-6056960,35-1320021,6
36-3235550,23-7042029,1
36-3235550,52-1289734,1
36-3309812,52-1455677,1
36-3756240,52-1400492,1
36-3756240,52-1403587,1
36-7244615,13-6217788,1
36-7244615,23-7002632,1
