ein1,ein2,weight
11-2741490,52-1122683,1
13-0433430,52-1042125,1
13-1084330,25-1704173,1
13-3554791,23-7432162,1
13-3554791,95-3298239,1
13-3649537,53-0218495,1
13-6006960,35-6056960,1
13-6006960,52-1455677,1
13-6006960,52-1928321,1
13-6006960,54-1934032,1
13-6217788,23-7002632,1
13-6217788,36-7244615,1
13-6217788,47-3862135,1
13-6217788,52-2166327,1
20-1658710,23-2732477,1
20-1658710,23-7432162,1
20-4707442,73-0667344,1
22-2570926,23-7432162,1
22-3092292,95-3298239,1
23-2732477,20-1658710,1
23-2732477,23-7432162,1
23-7002632,13-6217788,1
23-7002632,36-7244615,1
23-7002632,47-3862135,1
23-7002632,52-2166327,1
23-7042029,36-3235550,1
23-7042029,52-1226614,2
23-7042029,54-1672138,2
23-7135837,52-1400302,1
23-7432162,13-3554791,1
23-7432162,20-1658710,1
23-7432162,22-2570926,1
23-7432162,23-2732477,1
23-7432162,38-2926822,1
23-7432162,43-1244445,1
23-7432162,44-6015127,1
23-7432162,75-3148958,1
23-7432162,76-0149778,1
23-7432162,95-3298239,1
25-1113452,25-1704173,1
25-1113452,36-3235550,1
25-1113452,41-1275875,1
25-1113452,52-1351785,1
25-1113452,74-6047137,1
25-1704173,13-1084330,1
25-1704173,25-1113452,1
25-1704173,25-1704705,1
25-1704173,25-6012303,1
25-1704705,25-1704173,1
25-6012303,25-1704173,1
26-2417908,45-3503672,3
26-4396861,73-0667344,1
27-2244700,94-6080099,1
35-1320021,35-6056960,5
35-1320021,94-2763845,1
35-6056960,13-6006960,1
35-6056960,35-1320021,5
36-3235550,23-7042029,1
36-3235550,25-1113452,1
36-3235550,52-1289734,1
36-3309812,52-1455677,1
36-3756240,52-1403587,1
36-7244615,13-6217788,1
36-7244615,23-7002632,1
36-7244615,47-3862135,1
36-7244615,52-2166327,2
36-7244615,54-1934032,1
38-2701547,52-1122683,1
38-2926822,23-7432162,1
38-2926822,43-1244445,1
38-2926822,44-6015127,1
38-2926822,62-1322826,1
41-1275875,25-1113452,1
41-1275875,52-1351785,1
43-1244445,23-7432162,1
43-1244445,38-2926822,1
43-1244445,44-6015127,3
44-6015127,23-7432162,1
44-6015127,38-2926822,1
44-6015127,43-1244445,3
45-3503672,26-2417908,3
45-4678325,52-1455677,1
46-1233894,53-0218495,1
47-3862135,13-6217788,1
47-3862135,23-7002632,1
47-3862135,36-7244615,1
47-3862135,52-2166327,1
48-0918408,54-1436224,2
51-0172279,53-0218495,1
52-1009116,52-1122683,10
52-1042125,13-0433430,1
52-1042125,73-0296927,2
52-1122683,11-2741490,1
52-1122683,38-2701547,1
52-1122683,52-1009116,10
52-1226614,23-7042029,2
52-1289734,36-3235550,1
52-1289734,94-3008370,1
52-1349353,52-1526916,5
52-1349353,95-3298239,1
52-1351785,25-1113452,1
52-1351785,41-1275875,1
52-1400302,23-7135837,1
52-1400492,52-1403587,3
52-1403587,36-3756240,1
52-1403587,52-1400492,3
52-1455677,13-6006960,1
52-1455677,36-3309812,1
52-1455677,45-4678325,1
52-1455677,77-0099744,1
52-1526916,52-1349353,5
52-1526916,95-3298239,1
52-1527294,75-3148958,8
52-1928321,13-6006960,1
52-1928321,54-1436224,1
52-2166327,13-6217788,1
52-2166327,23-7002632,1
52-2166327,36-7244615,2
52-2166327,47-3862135,1
52-2166327,54-1934032,2
52-2166327,74-6047137,1
52-2166327,94-2763845,1
52-2166327,95-3298239,1
53-0218495,13-3649537,1
53-0218495,46-1233894,1
53-0218495,51-0172279,1
53-0218495,54-1934032,1
53-0218495,94-3264446,1
54-1429009,54-1670627,1
54-1436224,48-0918408,2
54-1436224,52-1928321,1
54-1670627,54-1429009,1
54-1672138,23-7042029,2
54-1934032,13-6006960,1
54-1934032,36-7244615,1
54-1934032,52-2166327,2
54-1934032,53-0218495,1
54-1934032,76-0149778,1
54-1934032,94-2763845,1
62-1322826,38-2926822,1
73-0296927,52-1042125,2
73-0667344,20-4707442,1
73-0667344,26-4396861,1
74-2543375,94-2763845,1
74-6047137,25-1113452,1
74-6047137,52-2166327,1
74-6047137,95-3298239,1
75-3148958,23-7432162,1
75-3148958,52-1527294,8
76-0149778,23-7432162,1
76-0149778,54-1934032,1
77-0099744,52-1455677,1
91-1521697,91-1752769,1
91-1752769,91-1521697,1
94-2763845,35-1320021,1
94-2763845,52-2166327,1
94-2763845,54-1934032,1
94-2763845,74-2543375,1
94-3008370,52-1289734,1
94-3264446,53-0218495,1
94-6080099,27-2244700,1
95-3298239,13-3554791,1
95-3298239,22-3092292,1
95-3298239,23-7432162,1
95-3298239,52-1349353,1
95-3298239,52-1526916,1
95-3298239,52-2166327,1
95-3298239,74-6047137,1
