person_id,ein
18,52-1844456
19,52-1844456
20,52-1844456
21,52-1844456
22,52-1844456
140,76-0149778
141,76-0149778
142,76-0149778
160,76-0149778
161,76-0149778
146,76-0149778
147,76-0149778
143,76-0149778
145,76-0149778
166,76-0149778
167,76-0149778
294,85-0267696
328,85-0267696
329,85-0267696
330,85-0267696
331,85-0267696
332,85-0267696
314,85-0267696
334,85-0267696
335,85-0267696
336,85-0267696
337,85-0267696
338,85-0267696
339,85-0267696
340,85-0267696
341,85-0267696
342,85-0267696
343,85-0267696
344,85-0267696
345,85-0267696
346,85-0267696
464,53-0045720
505,53-0045720
506,53-0045720
507,53-0045720
508,53-0045720
509,53-0045720
510,53-0045720
511,53-0045720
512,53-0045720
513,53-0045720
514,53-0045720
515,53-0045720
516,53-0045720
517,53-0045720
518,53-0045720
519,53-0045720
520,53-0045720
521,53-0045720
522,53-0045720
523,53-0045720
897,23-7135837
915,23-7135837
916,23-7135837
917,23-7135837
910,23-7135837
919,23-7135837
911,23-7135837
921,23-7135837
1076,45-2922471
1077,45-2922471
1078,45-2922471
1079,45-2922471
1130,84-0912828
1131,84-0912828
1132,84-0912828
1133,84-0912828
1134,84-0912828
1135,84-0912828
1136,84-0912828
1137,84-0912828
1138,84-0912828
1139,84-0912828
1140,84-0912828
1141,84-0912828
1142,84-0912828
1143,84-0912828
1144,84-0912828
1145,84-0912828
1146,84-0912828
1147,84-0912828
1148,84-0912828
1247,54-1436224
1221,54-1436224
1223,54-1436224
1224,54-1436224
1251,54-1436224
1226,54-1436224
1227,54-1436224
1228,54-1436224
1255,54-1436224
1256,54-1436224
1231,54-1436224
1258,54-1436224
1233,54-1436224
1465,13-0433430
1506,13-0433430
1507,13-0433430
1508,13-0433430
1509,13-0433430
1510,13-0433430
1511,13-0433430
1512,13-0433430
1513,13-0433430
1514,13-0433430
1515,13-0433430
1516,13-0433430
1517,13-0433430
1518,13-0433430
1519,13-0433430
1520,13-0433430
1521,13-0433430
1522,13-0433430
1523,13-0433430
1524,13-0433430
1773,47-4610810
1774,47-4610810
1775,47-4610810
1776,47-4610810
1777,47-4610810
1778,47-4610810
1779,47-4610810
1780,47-4610810
1871,20-8601897
1872,20-8601897
1873,20-8601897
1909,73-0667344
1930,73-0667344
1931,73-0667344
1932,73-0667344
1933,73-0667344
1934,73-0667344
1935,73-0667344
1936,73-0667344
1937,73-0667344
1938,73-0667344
1939,73-0667344
1940,73-0667344
1941,73-0667344
1942,73-0667344
1943,73-0667344
1944,73-0667344
1945,73-0667344
1946,73-0667344
1947,73-0667344
1948,73-0667344
2158,81-0393444
2159,81-0393444
2160,81-0393444
2161,81-0393444
2162,81-0393444
2146,81-0393444
