org,year,name,position,normalized_name,first,last,middle
JOHN WILLIAM POPE FOUNDATION,2019,JOHN M HOOD,PRESIDENT,JOHN M HOOD,JOHN,HOOD,M
JOHN WILLIAM POPE FOUNDATION,2019,KIMBERLY OVERTON,ASSISTANT SECRETARY,KIMBERLY OVERTON,KIMBERLY,OVERTON,
JOHN WILLIAM POPE FOUNDATION,2019,DAVID M STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2019,MIKE SMITH,BOARD MEMBER,MIKE SMITH,MIKE,SMITH,
JOHN WILLIAM POPE FOUNDATION,2019,JAMES ARTHUR POPE,CHAIRMAN,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2019,AMANDA J POPE,VICE CHAIRMAN,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2019,JOYCE L POPE,BOARD MEMBER,JOYCE L POPE,JOYCE,POPE,L
JOHN WILLIAM POPE FOUNDATION,2019,EARLE POPE,BOARD MEMBER,EARLE POPE,EARLE,POPE,
JOHN WILLIAM POPE FOUNDATION,2018,JOHN M HOOD,PRESIDENT,JOHN M HOOD,JOHN,HOOD,M
JOHN WILLIAM POPE FOUNDATION,2018,KIMBERLY OVERTON,ASSISTANT SECRETARY,KIMBERLY OVERTON,KIMBERLY,OVERTON,
JOHN WILLIAM POPE FOUNDATION,2018,DAVID M STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2018,JAMES ARTHUR POPE,CHAIRMAN,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2018,AMANDA J POPE,VICE CHAIRMAN,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2018,JOYCE L POPE,BOARD MEMBER,JOYCE L POPE,JOYCE,POPE,L
JOHN WILLIAM POPE FOUNDATION,2017,JOHN M HOOD,PRESIDENT,JOHN M HOOD,JOHN,HOOD,M
JOHN WILLIAM POPE FOUNDATION,2017,JOYCE L POPE,VP/SEC/TREAS,JOYCE L POPE,JOYCE,POPE,L
JOHN WILLIAM POPE FOUNDATION,2017,DAVID M STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2017,JAMES ARTHUR POPE,CHAIRMAN,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2017,AMANDA J POPE,VP/ASST SEC/,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2016,JOHN M HOOD,PRESIDENT,JOHN M HOOD,JOHN,HOOD,M
JOHN WILLIAM POPE FOUNDATION,2016,DAVID M STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2016,JOYCE L POPE,VP/ASST SEC/,JOYCE L POPE,JOYCE,POPE,L
JOHN WILLIAM POPE FOUNDATION,2016,JAMES ARTHUR POPE,CHAIRMAN,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2016,AMANDA J POPE,VP/SEC/TREAS,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2015,JOHN M HOOD,PRESIDENT,JOHN M HOOD,JOHN,HOOD,M
JOHN WILLIAM POPE FOUNDATION,2015,DAVID RIGGS,EVP,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2015,JOYCE L. POPE,VP/ASSISTANT SEC,JOYCE L POPE,JOYCE,POPE,L
JOHN WILLIAM POPE FOUNDATION,2015,DAVID M. STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2015,JAMES ARTHUR POPE,PRES/CHAIR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2015,AMANDA J. POPE,VC/SEC/TREASURER,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2014,DAVID M. STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2014,DAVID RIGGS,EVP,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2014,JOYCE W. POPE,DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2014,JAMES ARTHUR POPE,PRES/CHAIR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2014,AMANDA J. POPE,VC/SEC/TREASURER,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2013,DAVID RIGGS,EVP,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2013,DAVID M. STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2013,JOYCE W. POPE,DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2013,JAMES ARTHUR POPE,PRES/CHAIR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2013,AMANDA J. POPE,VC/SEC/TREASURER,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2012,DAVID M. STOVER,DIRECTOR,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2012,JOYCE W. POPE,CHAIRMAN/DIR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2012,JAMES ARTHUR POPE,PRESIDENT/DI,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2012,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2012,DAVID RIGGS,EXECUTIVE VP,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2011,JOYCE W. POPE,DIR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2011,JAMES ARTHUR POPE,PRESIDENT/DI Chairman,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2011,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2011,DAVID RIGGS,EXECUTIVE VP,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2010,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2010,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2010,DAVID RIGGS,EXECUTIVE VP OF OPERATIONS,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2010,DAVID STOVER,DIRECTOR,DAVID STOVER,DAVID,STOVER,
JOHN WILLIAM POPE FOUNDATION,2010,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2009,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2009,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2009,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2009,DAVID RIGGS,EXECUTIVE VP OF OPERATIONS,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2009,DAVID STOVER,DIRECTOR,DAVID STOVER,DAVID,STOVER,
JOHN WILLIAM POPE FOUNDATION,2008,DAVID RIGGS,EXECUTIVE VP OF OPERATIONS,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2008,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2008,DAVID STOVER,DIRECTOR,DAVID STOVER,DAVID,STOVER,
JOHN WILLIAM POPE FOUNDATION,2008,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2008,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2007,DAVID RIGGS,EXECUTIVE VP OF OPERATIONS,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2007,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2007,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2007,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2006,DAVID RIGGS,EXECUTIVE VP OF OPERATIONS,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2006,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2006,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2006,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2005,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2005,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2005,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2004,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2004,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2004,JOHN W. POPE,VICE PRES/DIRECTOR,JOHN W POPE,JOHN,POPE,W
JOHN WILLIAM POPE FOUNDATION,2004,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2003,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2003,JOHN W. POPE,VICE PRES/DIRECTOR,JOHN W POPE,JOHN,POPE,W
JOHN WILLIAM POPE FOUNDATION,2003,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2003,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2002,JOHN W. POPE,VICE PRES/DIRECTOR,JOHN W POPE,JOHN,POPE,W
JOHN WILLIAM POPE FOUNDATION,2002,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2002,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2002,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,SUSAN E MANSKE,VP/CHIEF INVESTMENT OFFICE,SUSAN E MANSKE,SUSAN,MANSKE,E
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,JULIA M STASCH,DIRECTOR/PRESIDENT,JULIA M STASCH,JULIA,STASCH,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,JOSHUA J MINTZ,VP/GENERAL COUNSEL/SECRETA,JOSHUA J MINTZ,JOSHUA,MINTZ,J
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,MARC P YANCHURA,VP/CHIEF FINANCIAL OFFICER,MARC P YANCHURA,MARC,YANCHURA,P
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,DANIEL HUTTENLOCHER,DIRECTOR / BOARD CHAIRMAN,DANIEL HUTTENLOCHER,DANIEL,HUTTENLOCHER,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,JOICHI ITO,DIRECTOR,JOICHI ITO,JOICHI,ITO,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,PAUL KLINGENSTEIN,DIRECTOR,PAUL KLINGENSTEIN,PAUL,KLINGENSTEIN,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,MARTHA MINOW,DIRECTOR,MARTHA MINOW,MARTHA,MINOW,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,SENDHIL MULLAINATHAN,DIRECTOR,SENDHIL MULLAINATHAN,SENDHIL,MULLAINATHAN,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,OLUFUNMILAYO OLOPADE,DIRECTOR,OLUFUNMILAYO OLOPADE,OLUFUNMILAYO,OLOPADE,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,JAMES MANYIKA,DIRECTOR,JAMES MANYIKA,JAMES,MANYIKA,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,CLAUDE M STEELE,DIRECTOR,CLAUDE M STEELE,CLAUDE,STEELE,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,DIRECTORS OFFICERSAFFILIATED ENTIT,NOTE IN COMPENSATION EXPLA,DIRECTORS OFFICERSAFFILIATED ENTIT,DIRECTORS,ENTIT,OFFICERSAFFILIATED
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2018,JULIE T KATZMAN,DIRECTOR,JULIE T KATZMAN,JULIE,KATZMAN,T
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,SUSAN E MANSKE,VP/CHIEF INVESTMENT OFFICE,SUSAN E MANSKE,SUSAN,MANSKE,E
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,JULIA M STASCH,DIRECTOR/PRESIDENT,JULIA M STASCH,JULIA,STASCH,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,JOSHUA J MINTZ,VP/GENERAL COUNSEL/SECRETA,JOSHUA J MINTZ,JOSHUA,MINTZ,J
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,MARC P YANCHURA,VP/CHIEF FINANCIAL OFFICER,MARC P YANCHURA,MARC,YANCHURA,P
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,MARJORIE M SCARDINO,DIRECTOR / BOARD CHAIRMAN,MARJORIE M SCARDINO,MARJORIE,SCARDINO,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,PAUL KLINGENSTEIN,DIRECTOR,PAUL KLINGENSTEIN,PAUL,KLINGENSTEIN,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,MARTHA MINOW,DIRECTOR,MARTHA MINOW,MARTHA,MINOW,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,SENDHIL MULLAINATHAN,DIRECTOR,SENDHIL MULLAINATHAN,SENDHIL,MULLAINATHAN,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,OLUFUNMILAYO OLOPADE,DIRECTOR,OLUFUNMILAYO OLOPADE,OLUFUNMILAYO,OLOPADE,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,DANIEL HUTTENLOCHER,DIRECTOR,DANIEL HUTTENLOCHER,DANIEL,HUTTENLOCHER,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,JOICHI ITO,DIRECTOR,JOICHI ITO,JOICHI,ITO,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,JAMES MANYIKA,DIRECTOR SINCE 3/01/2017,JAMES MANYIKA,JAMES,MANYIKA,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,CLAUDE M STEELE,DIRECTOR,CLAUDE M STEELE,CLAUDE,STEELE,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,DIRECTORS OFFICERSAFFILIATED ENTIT,NOTE IN COMPENSATION EXPLA,DIRECTORS OFFICERSAFFILIATED ENTIT,DIRECTORS,ENTIT,OFFICERSAFFILIATED
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2017,JULIE T KATZMAN,DIRECTOR,JULIE T KATZMAN,JULIE,KATZMAN,T
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,SUSAN E MANSKE,VP/CHIEF INVESTMENT OFFICER,SUSAN E MANSKE,SUSAN,MANSKE,E
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,JULIA M STASCH,DIRECTOR/PRESIDENT,JULIA M STASCH,JULIA,STASCH,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,JOSHUA J MINTZ,VP/GENERAL COUNSEL/SECRETARY,JOSHUA J MINTZ,JOSHUA,MINTZ,J
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,MARC P YANCHURA,VP/CHIEF FINANCIAL OFFICER,MARC P YANCHURA,MARC,YANCHURA,P
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,ELIZABETH KANE,SECRETARY UNTIL 6/22/2016,ELIZABETH KANE,ELIZABETH,KANE,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,MARJORIE M SCARDINO,DIRECTOR / BOARD CHAIRMAN,MARJORIE M SCARDINO,MARJORIE,SCARDINO,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,JOICHI ITO,DIRECTOR,JOICHI ITO,JOICHI,ITO,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,PAUL KLINGENSTEIN,DIRECTOR,PAUL KLINGENSTEIN,PAUL,KLINGENSTEIN,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,MARTHA MINOW,DIRECTOR,MARTHA MINOW,MARTHA,MINOW,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,SENDHIL MULLAINATHAN,DIRECTOR,SENDHIL MULLAINATHAN,SENDHIL,MULLAINATHAN,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,DANIEL HUTTENLOCHER,DIRECTOR,DANIEL HUTTENLOCHER,DANIEL,HUTTENLOCHER,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,CLAUDE M STEELE,DIRECTOR,CLAUDE M STEELE,CLAUDE,STEELE,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,DONALD R HOPKINS,DIRECTOR UNTIL 6/22/2016,DONALD R HOPKINS,DONALD,HOPKINS,R
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,JACK FULLER,DIRECTOR UNTIL 6/21/2016,JACK FULLER,JACK,FULLER,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,DIRECTORS OFFICERSAFFILIATED ENTIT,NOTE IN COMPENSATION EXPLA,DIRECTORS OFFICERSAFFILIATED ENTIT,DIRECTORS,ENTIT,OFFICERSAFFILIATED
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,OLUFUNMILAYO OLOPADE,DIRECTOR SINCE 12/6/2016,OLUFUNMILAYO OLOPADE,OLUFUNMILAYO,OLOPADE,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2016,JULIE T KATZMAN,DIRECTOR,JULIE T KATZMAN,JULIE,KATZMAN,T
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,SUSAN E MANSKE,VP / CHIEF INVESTMENT OFFICER,SUSAN E MANSKE,SUSAN,MANSKE,E
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,JULIA M STASCH,DIRECTOR / PRESIDENT,JULIA M STASCH,JULIA,STASCH,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,JOSHUA J MINTZ,VP / GENERAL COUNSEL,JOSHUA J MINTZ,JOSHUA,MINTZ,J
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,MARC P YANCHURA,VP / CHIEF FINANCIAL OFFICER,MARC P YANCHURA,MARC,YANCHURA,P
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,ELIZABETH KANE,SECRETARY,ELIZABETH KANE,ELIZABETH,KANE,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,MARJORIE M SCARDINO,DIRECTOR / BOARD CHAIRMAN,MARJORIE M SCARDINO,MARJORIE,SCARDINO,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,DONALD R HOPKINS,DIRECTOR,DONALD R HOPKINS,DONALD,HOPKINS,R
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,DANIEL HUTTENLOCHER,DIRECTOR,DANIEL HUTTENLOCHER,DANIEL,HUTTENLOCHER,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,PAUL KLINGENSTEIN,DIRECTOR,PAUL KLINGENSTEIN,PAUL,KLINGENSTEIN,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,SENDHIL MULLAINATHAN,DIRECTOR,SENDHIL MULLAINATHAN,SENDHIL,MULLAINATHAN,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,JACK FULLER,DIRECTOR,JACK FULLER,JACK,FULLER,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,MARTHA MINOW,DIRECTOR,MARTHA MINOW,MARTHA,MINOW,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,JOICHI ITO,DIRECTOR,JOICHI ITO,JOICHI,ITO,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,CLAUDE M STEELE,DIRECTOR,CLAUDE M STEELE,CLAUDE,STEELE,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,JULIE T KATZMAN,DIRECTOR,JULIE T KATZMAN,JULIE,KATZMAN,T
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2015,DIRECTORS OFFICERSAFFILIATED CORPS,NOTE IN COMPENSATION EXPLA,DIRECTORS OFFICERSAFFILIATED CORPS,DIRECTORS,CORPS,OFFICERSAFFILIATED
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,ROBERT GALLUCCI,DIR & PRES TO 07/01/14,ROBERT GALLUCCI,ROBERT,GALLUCCI,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,SUSAN E MANSKE,VP/CHIEF INVESTMENT OFFICER,SUSAN E MANSKE,SUSAN,MANSKE,E
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,JULIA M STASCH,VP TO 06/30/14 - DIR & PRES 07/01/14,JULIA M STASCH,JULIA,STASCH,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,JOSHUA J MINTZ,VP/GENERAL COUNSEL,JOSHUA J MINTZ,JOSHUA,MINTZ,J
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,MARC P YANCHURA,VP/CHIEF FINANCIAL OFFICER,MARC P YANCHURA,MARC,YANCHURA,P
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,ELIZABETH KANE,SECRETARY,ELIZABETH KANE,ELIZABETH,KANE,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,MARJORIE M SCARDINO,DIRECTOR/BOARD CHAIRMAN,MARJORIE M SCARDINO,MARJORIE,SCARDINO,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,JACK FULLER,DIRECTOR,JACK FULLER,JACK,FULLER,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,DONALD R HOPKINS,DIRECTOR,DONALD R HOPKINS,DONALD,HOPKINS,R
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,PAUL KLINGENSTEIN,DIRECTOR,PAUL KLINGENSTEIN,PAUL,KLINGENSTEIN,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,SENDHIL MULLAINATHAN,DIRECTOR,SENDHIL MULLAINATHAN,SENDHIL,MULLAINATHAN,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,CLAUDE M STEELE,DIRECTOR,CLAUDE M STEELE,CLAUDE,STEELE,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,MARTHA MINOW,DIRECTOR,MARTHA MINOW,MARTHA,MINOW,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,DANIEL HUTTENLOCHER,DIRECTOR,DANIEL HUTTENLOCHER,DANIEL,HUTTENLOCHER,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,JOICHI ITO,DIRECTOR,JOICHI ITO,JOICHI,ITO,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,MARIO J MOLINA,DIRECTOR UNTIL 06/30/14,MARIO J MOLINA,MARIO,MOLINA,J
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,JULIE T KATZMAN,DIRECTOR,JULIE T KATZMAN,JULIE,KATZMAN,T
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2014,DIRECTORS OFFICERSAFFILIATED CORPS,NOTE IN COMPENSATION EXPLANATION,DIRECTORS OFFICERSAFFILIATED CORPS,DIRECTORS,CORPS,OFFICERSAFFILIATED
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2013,Susan E Manske,VP/Chief Investment Officer,SUSAN E MANSKE,SUSAN,MANSKE,E
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2013,Robert Gallucci,President,ROBERT GALLUCCI,ROBERT,GALLUCCI,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2013,Joshua J Mintz,VP/General Counsel,JOSHUA J MINTZ,JOSHUA,MINTZ,J
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2013,Maric P Yanchura,VP/Chief Financial,MARIC P YANCHURA,MARIC,YANCHURA,P
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2013,Julia M Stasch,VP/U S Programs,JULIA M STASCH,JULIA,STASCH,M
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2013,Barry Lowenkron,VP/International Programs,BARRY LOWENKRON,BARRY,LOWENKRON,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2013,Elspeth A Revere,"VP/Media, Culture, Special Initiatives",ELSPETH A REVERE,ELSPETH,REVERE,A
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2013,Andrew Solomon,VP/Public Affairs,ANDREW SOLOMON,ANDREW,SOLOMON,
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,2013,Elizabeth Kane,Secretary,ELIZABETH KANE,ELIZABETH,KANE,
